stock_code,stockId,name,market
00061,99,GREEN LEADER,SEHK
00062,102,TRANSPORT INT'L,SEHK
00063,103,CHI ASIA VALLEY,SEHK
00064,104,GET NICE,SEHK
00065,35207,GRAND OCEAN AR,SEHK
00066,111,MTR CORPORATION,SEHK
00069,115,SHANGRI-LA ASIA,SEHK
01002,2338,V.S. INT'L,SEHK
01003,2342,HUANXI MEDIA,SEHK
01004,2343,C SMARTERENERGY,SEHK
01005,2345,MATRIX HOLDINGS,SEHK
01007,54112,LONGHUI INTL,SEHK
01008,31861,LITU HOLDINGS,SEHK
01009,52722,INT'L ENT,SEHK
10001,1000273565,UB-N225@EP2603D,SEHK
00405,10324,YUEXIU REIT,SEHK
00406,810,YAU LEE HOLD,SEHK
00408,812,YIP'S CHEMICAL,SEHK
04012,59694,EFN 3.32 2602,SEHK
04018,66130,EFN 2.07 2608,SEHK
04024,72095,EFN 1.51 2702,SEHK
00300,1000231771,MIDEA GROUP,SEHK
00301,1000018761,SANVO CHEMICALS,SEHK
00302,1000011963,CMGE,SEHK
00303,533,VTECH HOLDINGS,SEHK
00305,535,WULING MOTORS,SEHK
00306,536,KWOON CHUNG BUS,SEHK
00308,539,CHINA TRAVEL HK,SEHK
00309,6347,XH NEWS MEDIA,SEHK
03001,1000089868,PP CNUSDPROP,SEHK
00120,198,COSMOPOL INT'L,SEHK
01200,2679,MIDLAND HOLDING,SEHK
01201,2680,TESSON HOLDINGS,SEHK
01202,2682,SIWI SCI & TECH,SEHK
01203,2683,GUANGNAN (HOLD),SEHK
01204,1000158208,BOARDWARE INTEL,SEHK
01205,2687,CITIC RESOURCES,SEHK
01206,68127,TECHNOVATOR,SEHK
01208,2693,MMG,SEHK
01209,1000066369,CHINA RES MIXC,SEHK
00130,217,MOISELLE INT'L,SEHK
01300,72681,TRIGIANT,SEHK
01301,124583,D&G TECH,SEHK
01302,96020,LIFETECH SCI,SEHK
01303,70370,HUILI RES,SEHK
01304,1000264161,FORTIOR,SEHK
01305,114098,WAI CHI HOLD,SEHK
01308,52746,SITC,SEHK
13004,1000244642,JP-SUNY@EP2512A,SEHK
13005,1000277938,SGTENCT@EC2703A,SEHK
01400,104907,MOODY TECH HLDG,SEHK
01401,1000013222,FUTURE MACH LTD,SEHK
01402,1000018448,I-CONTROL,SEHK
01405,1000176932,DPC DASH,SEHK
01406,1000137808,CLARITY MEDICAL,SEHK
01407,1000172926,JY GAS,SEHK
01408,1000055694,MACAU E&M,SEHK
14001,1000248900,CIXIAMI@EC2609A,SEHK
14022,1000278418,JP-HSBC@EC2606A,SEHK
14026,1000278471,JP-CATL@EC2609A,SEHK
00150,217590,HYPEBEAST,SEHK
01500,121312,INCON,SEHK
01501,1000013339,INT MEDICAL,SEHK
01502,1000044331,FIN STREET PPT,SEHK
01503,1000016858,CMC REIT,SEHK
01508,132637,CHINA RE,SEHK
15000,1000253011,UB-CKH @EC2602A,SEHK
15002,1000253045,UBTENCT@EC2607A,SEHK
15003,1000253078,JP-MTRC@EC2602A,SEHK
15005,1000253110,CTTENCT@EC2607A,SEHK
01701,1000001201,TU YI HLDG,SEHK
01702,157774,DONGGUANG CHEM,SEHK
01703,214496,WELIFE TECH,SEHK
01705,179515,B & S INTL HLDG,SEHK
01707,164266,GEOTECH HLDGS,SEHK
01708,56299,SAMPLE TECH,SEHK
01709,163545,DL HOLDINGS GP,SEHK
17004,1000261608,MB-MNSO@EC2602A,SEHK
17005,1000261643,CIGEELY@EC2604A,SEHK
17006,1000261722,CI-GWMC@EC2607A,SEHK
00180,323,KADER HOLDINGS,SEHK
01800,13273,CHINA COMM CONS,SEHK
01801,202911,INNOVENT BIO,SEHK
01802,1000019988,WENYE GROUP,SEHK
01803,70470,BJ SPORTS & ENT,SEHK
01808,13567,ENTERPRISE DEV,SEHK
01809,200463,PRINX CHENGSHAN,SEHK
18000,1000264903,JP-HKEX@EP2512A,SEHK
18001,1000264873,JP-CPIC@EC2601A,SEHK
18002,1000264839,JPPINAN@EC2601A,SEHK
00160,280,HON KWOK LAND,SEHK
01600,54823,TIAN LUN GAS,SEHK
01601,1000019985,ZGC TEC LEASING,SEHK
01606,142361,CDB LEASING,SEHK
01608,147351,VPOWER GROUP,SEHK
16000,1000257124,BP-AIA @EC2603A,SEHK
16004,1000257123,BPTENCT@EC2606A,SEHK
16020,1000278541,CT-AIA @EC2604A,SEHK
16021,1000257146,SG-AIA @EC2603B,SEHK
16022,1000257297,SGTENCT@EC2606A,SEHK
00220,20216,U-PRESID CHINA,SEHK
02202,107641,CHINA VANKE,SEHK
02203,158007,BRAINHOLE TECH,SEHK
02205,1000101247,KANGQIAO SER,SEHK
02208,48966,GOLDWIND,SEHK
02209,1000101485,YESASIA HLDGS,SEHK
22000,1000280241,HU-HKEX@EP2606A,SEHK
22001,1000280138,HUCNOOC@EP2608A,SEHK
22002,1000280207,HU-CMOB@EP2607A,SEHK
22003,1000280171,HU-CSPC@EP2605A,SEHK
01900,49783,CHINA ITS,SEHK
01901,1000001103,FEIYANG GROUP,SEHK
01903,222839,JBB BUILDERS,SEHK
01905,223487,HAITONG UT,SEHK
01906,220497,BONNY HLDG,SEHK
01907,217089,CHINA RISUN GP,SEHK
01908,107134,C&D INTL GROUP,SEHK
01909,1000001316,FIRE ROCK,SEHK
19000,1000268246,UBXIAMI@EP2601A,SEHK
19001,1000268348,UB-CUNI@EC2603A,SEHK
00210,380,DAPHNE INT'L,SEHK
02100,104604,BAIOO,SEHK
02101,1000056591,FULU HOLDINGS,SEHK
02102,1000058559,TAK LEE MACH,SEHK
02105,1000194000,LAEKNA-B,SEHK
02107,1000060567,FIRST SERVICE,SEHK
02108,215362,K2 F&B,SEHK
21000,1000275062,CI-CMOB@EC2604B,SEHK
21001,1000275101,CIPETCH@EC2609A,SEHK
21002,1000275178,CICP&CC@EC2605A,SEHK
00310,543,PROSP INV HOLD,SEHK
03104,1000239755,A GX EM ASIA,SEHK
03108,1000083321,HGI ESGLEADER,SEHK
03109,1000079934,CSOP STAR 50,SEHK
02001,154010,NEW HIGHER EDU,SEHK
02002,20190,SUNSHINE PAPER,SEHK
02003,188344,VCREDIT,SEHK
02005,10291,SSY GROUP,SEHK
02007,15008,COUNTRY GARDEN,SEHK
02008,29420,PHOENIX TV,SEHK
02009,35961,BBMG,SEHK
20001,1000271948,GJLENOV@EC2602A,SEHK
02600,4646,CHALCO,SEHK
02601,41955,CPIC,SEHK
02602,1000166523,ONEWO,SEHK
02603,1000260664,JIHONG CO,SEHK
02605,1000262117,METALIGHT,SEHK
02607,62403,SH PHARMA,SEHK
02608,102690,SUNSHINE 100,SEHK
02609,1000263115,BAYZED HEALTH,SEHK
26070,1000227418,JP-CCB @EC2812A,SEHK
26074,1000277181,GJALIBA@EC2603H,SEHK
00240,427,BUILD KING HOLD,SEHK
02400,1000016859,XD INC,SEHK
02402,1000179399,SINOHYTEC,SEHK
02405,1000187973,POWERWIN TECH,SEHK
02407,1000176522,GAUSH MEDITECH,SEHK
02409,1000187466,SEACON,SEHK
24002,1000276971,HS-CMOB@EC2603A,SEHK
24032,1000219318,SG-CKA @EC2512A,SEHK
24037,1000219339,MBALIHI@EC2601A,SEHK
24039,1000219348,MB-CHQG@EC2601A,SEHK
00270,477,GUANGDONG INV,SEHK
02700,12319,GREEN INTL HLDG,SEHK
02708,170453,IBO TECH,SEHK
27005,1000231080,JP-NIO @EC2511A,SEHK
27017,1000231192,UB-NIO @EC2511A,SEHK
27022,1000231166,SG-AAC @EC2512A,SEHK
27024,1000231143,MB-CICC@EC2511A,SEHK
27029,1000231229,UBYKENR@EC2512A,SEHK
27031,1000231269,HSYKENR@EC2512A,SEHK
27042,1000231246,BPBAIDU@EC2601A,SEHK
00230,412,MINMETALS LAND,SEHK
02302,4455,CNNC INT'L,SEHK
02306,1000163281,YH ENT,SEHK
02307,7961,KAM HING INT'L,SEHK
02309,4465,ZO FUTURE GROUP,SEHK
23017,1000214413,KS-AIA @EC2512A,SEHK
23077,1000277046,CTKUASO@EC2603A,SEHK
00290,511,GOFINTECH-2K,SEHK
02908,1000087371,IRICO NEWENERGY,SEHK
29005,1000277790,MBASPGI@EC2604A,SEHK
29014,1000240825,SGALIBA@EC2606A,SEHK
29016,1000240970,MB-WYNN@EC2512A,SEHK
29030,1000277716,JP-CATL@EC2603C,SEHK
29032,1000277641,JPSMORE@EC2603A,SEHK
29036,1000240973,JPALIBA@EC2606A,SEHK
29041,1000241028,HSALIBA@EC2512B,SEHK
29043,1000241051,CI-GWMC@EC2511A,SEHK
